GT3,Audi R8 LMS GT3 evo II,2022,13 kg,-1 kg,imola
GT3,Bentley Continental,2018,-19 kg,-1 kg,imola
GT3,AMR V8 Vantage,2019,-6 kg,-1 kg,imola
GT3,BMW M4 GT3,2021,4 kg,-1 kg,imola
GT3,Ferrari 296 GT3,2023,-1 kg,-1 kg,imola
GT3,Honda NSX GT3 Evo,2019,-23 kg,11 kg,imola
GT3,Lamborghini Huracan GT3 EVO 2,2023,-7 kg,-1 kg,imola
GT3,McLaren 720S GT3 Evo,2023,17 kg,-2 kg,imola
GT3,Mercedes-AMG GT3,2020,10 kg,-1 kg,imola
GT3,Porsche 992 GT3 R,2023,13 kg,-1 kg,imola
GT3,Ferrari 488 GT3 Evo,2020,-40 kg,0 kg,imola
GT3,Audi R8 LMS GT3 evo II,2022,1 kg,-9 kg,barcelona
GT3,Bentley Continental,2018,5 kg,31 kg,barcelona
GT3,AMR V8 Vantage,2019,-5 kg,2 kg,barcelona
GT3,BMW M4 GT3,2021,1 kg,-1 kg,barcelona
GT3,Ferrari 296 GT3,2023,15 kg,-9 kg,barcelona
GT3,Honda NSX GT3 Evo,2019,-8 kg,-1 kg,barcelona
GT3,Lamborghini Huracan GT3 EVO 2,2023,19 kg,1 kg,barcelona
GT3,McLaren 720S GT3 Evo,2023,1 kg,1 kg,barcelona
GT3,Mercedes-AMG GT3,2020,-19 kg,-9 kg,barcelona
GT3,Porsche 992 GT3 R,2023,-10 kg,-6 kg,barcelona
GT3,Ferrari 488 GT3 Evo,2020,-33 kg,-9 kg,barcelona
GT3,Audi R8 LMS GT3 evo II,2022,-13 kg,-2 kg,paul_ricard
GT3,Bentley Continental,2018,-26 kg,-1 kg,paul_ricard
GT3,AMR V8 Vantage,2019,15 kg,11 kg,paul_ricard
GT3,BMW M4 GT3,2021,2 kg,-1 kg,paul_ricard
GT3,Ferrari 296 GT3,2023,5 kg,-1 kg,paul_ricard
GT3,Honda NSX GT3 Evo,2019,-23 kg,-1 kg,paul_ricard
GT3,Lamborghini Huracan GT3 EVO 2,2023,17 kg,-1 kg,paul_ricard
GT3,McLaren 720S GT3 Evo,2023,19 kg,-2 kg,paul_ricard
GT3,Mercedes-AMG GT3,2020,17 kg,-1 kg,paul_ricard
GT3,Porsche 992 GT3 R,2023,-13 kg,-1 kg,paul_ricard
GT3,Nissan GT-R Nismo GT3,2018,9 kg,-1 kg,paul_ricard
GT3,McLaren 720S GT3,2019,8 kg,-1 kg,paul_ricard
GT3,Ferrari 488 GT3 Evo,2020,-24 kg,-1 kg,paul_ricard
GT3,Audi R8 LMS GT3 evo II,2022,10 kg,39 kg,spa
GT3,Bentley Continental,2018,-14 kg,-4 kg,spa
GT3,AMR V8 Vantage,2019,-3 kg,-4 kg,spa
GT3,BMW M4 GT3,2021,6 kg,-4 kg,spa
GT3,Ferrari 296 GT3,2023,14 kg,-4 kg,spa
GT3,Honda NSX GT3 Evo,2019,-30 kg,-5 kg,spa
GT3,Lamborghini Huracan GT3 EVO 2,2023,1 kg,-4 kg,spa
GT3,McLaren 720S GT3 Evo,2023,24 kg,-4 kg,spa
GT3,Mercedes-AMG GT3,2020,-5 kg,-5 kg,spa
GT3,Porsche 992 GT3 R,2023,-4 kg,-5 kg,spa
GT3,McLaren 720S GT3,2019,11 kg,-4 kg,spa
GT3,Nissan GT-R Nismo GT3,2018,3 kg,-4 kg,spa
GT3,Ferrari 488 GT3 Evo,2020,-25 kg,-4 kg,spa
GT3,Audi R8 LMS GT3 evo II,2022,-23 kg,-1 kg,cota
GT3,Bentley Continental,2018,-40 kg,0 kg,cota
GT3,AMR V8 Vantage,2019,5 kg,-1 kg,cota
GT3,BMW M4 GT3,2021,12 kg,-1 kg,cota
GT3,Ferrari 296 GT3,2023,11 kg,0 kg,cota
GT3,Honda NSX GT3 Evo,2019,-1 kg,5 kg,cota
GT3,Lamborghini Huracan GT3 EVO 2,2023,-11 kg,-1 kg,cota
GT3,McLaren 720S GT3 Evo,2023,16 kg,0 kg,cota
GT3,Mercedes-AMG GT3,2020,17 kg,-1 kg,cota
GT3,Porsche 992 GT3 R,2023,15 kg,0 kg,cota
GT3,Ferrari 488 GT3 Evo,2020,-22 kg,-1 kg,cota
GT3,Audi R8 LMS GT3 evo II,2022,14 kg,1 kg,valencia
GT3,Bentley Continental,2018,-7 kg,0 kg,valencia
GT3,AMR V8 Vantage,2019,-14 kg,0 kg,valencia
GT3,BMW M4 GT3,2021,7 kg,0 kg,valencia
GT3,Ferrari 296 GT3,2023,8 kg,0 kg,valencia
GT3,Honda NSX GT3 Evo,2019,-26 kg,0 kg,valencia
GT3,Lamborghini Huracan GT3 EVO 2,2023,12 kg,0 kg,valencia
GT3,McLaren 720S GT3 Evo,2023,10 kg,0 kg,valencia
GT3,Mercedes-AMG GT3,2020,-1 kg,-1 kg,valencia
GT3,Porsche 992 GT3 R,2023,-4 kg,0 kg,valencia
GT3,Ferrari 488 GT3 Evo,2020,-28 kg,0 kg,valencia
GT3,Audi R8 LMS GT3 evo II,2022,19 kg,-21 kg,hungaroring
GT3,Bentley Continental,2018,-40 kg,-9 kg,hungaroring
GT3,AMR V8 Vantage,2019,-13 kg,-20 kg,hungaroring
GT3,BMW M4 GT3,2021,12 kg,-21 kg,hungaroring
GT3,Ferrari 296 GT3,2023,0 kg,-5 kg,hungaroring
GT3,Honda NSX GT3 Evo,2019,-10 kg,30 kg,hungaroring
GT3,Lamborghini Huracan GT3 EVO 2,2023,13 kg,53 kg,hungaroring
GT3,McLaren 720S GT3 Evo,2023,25 kg,30 kg,hungaroring
GT3,Mercedes-AMG GT3,2020,-2 kg,-21 kg,hungaroring
GT3,Porsche 992 GT3 R,2023,6 kg,32 kg,hungaroring
GT3,Ferrari 488 GT3 Evo,2020,-19 kg,-21 kg,hungaroring
GT3,Audi R8 LMS GT3 evo II,2022,20 kg,-20 kg,indianapolis
GT3,Bentley Continental,2018,-16 kg,-20 kg,indianapolis
GT3,AMR V8 Vantage,2019,16 kg,-20 kg,indianapolis
GT3,BMW M4 GT3,2021,-1 kg,36 kg,indianapolis
GT3,Ferrari 296 GT3,2023,-29 kg,-20 kg,indianapolis
