GT3,Audi R8 LMS GT3 evo II,2022,14 kg,1 kg,imola
GT3,Bentley Continental,2018,-19 kg,0 kg,imola
GT3,AMR V8 Vantage,2019,-6 kg,0 kg,imola
GT3,BMW M4 GT3,2021,4 kg,0 kg,imola
GT3,Ferrari 296 GT3,2023,-1 kg,0 kg,imola
GT3,Honda NSX GT3 Evo,2019,-23 kg,0 kg,imola
GT3,Lamborghini Huracan GT3 EVO 2,2023,-6 kg,1 kg,imola
GT3,McLaren 720S GT3 Evo,2023,18 kg,1 kg,imola
GT3,Mercedes-AMG GT3,2020,6 kg,-4 kg,imola
GT3,Porsche 992 GT3 R,2023,14 kg,1 kg,imola
GT3,Audi R8 LMS GT3 evo II,2022,2 kg,32 kg,monza
GT3,Bentley Continental,2018,-40 kg,-17 kg,monza
GT3,AMR V8 Vantage,2019,11 kg,-17 kg,monza
GT3,BMW M4 GT3,2021,3 kg,-17 kg,monza
GT3,Ferrari 296 GT3,2023,16 kg,-3 kg,monza
GT3,Honda NSX GT3 Evo,2019,-27 kg,13 kg,monza
GT3,Lamborghini Huracan GT3 EVO 2,2023,6 kg,3 kg,monza
GT3,McLaren 720S GT3 Evo,2023,27 kg,-13 kg,monza
GT3,Mercedes-AMG GT3,2020,16 kg,-17 kg,monza
GT3,Porsche 992 GT3 R,2023,-14 kg,24 kg,monza
GT3,Nissan GT-R Nismo GT3,2018,5 kg,-17 kg,monza
GT3,Audi R8 LMS GT3 evo II,2022,16 kg,1 kg,brands_hatch
GT3,Bentley Continental,2018,-32 kg,1 kg,brands_hatch
GT3,AMR V8 Vantage,2019,9 kg,2 kg,brands_hatch
GT3,BMW M4 GT3,2021,15 kg,1 kg,brands_hatch
GT3,Ferrari 296 GT3,2023,-13 kg,-12 kg,brands_hatch
GT3,Honda NSX GT3 Evo,2019,-12 kg,1 kg,brands_hatch
GT3,Lamborghini Huracan GT3 EVO 2,2023,23 kg,2 kg,brands_hatch
GT3,McLaren 720S GT3 Evo,2023,14 kg,2 kg,brands_hatch
GT3,Mercedes-AMG GT3,2020,1 kg,1 kg,brands_hatch
GT3,Porsche 992 GT3 R,2023,-21 kg,1 kg,brands_hatch
GT3,Audi R8 LMS GT3 evo II,2022,1 kg,0 kg,barcelona
GT3,Bentley Continental,2018,5 kg,0 kg,barcelona
GT3,AMR V8 Vantage,2019,-5 kg,0 kg,barcelona
GT3,BMW M4 GT3,2021,1 kg,0 kg,barcelona
